,index,Path,blood,cancer,normal tissue,stroma
0,1710,tissue_classification/cancer/TCGA-A3-A6NL_40536_6077_cancer_6780.png,0,1,0,0
1,7516,tissue_classification/normal/FIMM_22243_C.mrxs_NormalTile 4.png,0,0,1,0
2,11019,tissue_classification/normal/TCGA-B0-5083_29500_27182_normal_4252.png,0,0,1,0
3,5420,tissue_classification/cancer/TCGA-B0-4690_34359_70989_cancer_4792.png,0,1,0,0
4,4403,tissue_classification/cancer/TCGA-A3-3359_18325_36538_cancer_9129.png,0,1,0,0
5,219,tissue_classification/blood/TCGA-B2-5633_26300_9887_blood_244.png,1,0,0,0
6,9914,tissue_classification/normal/TCGA-G6-A8L8_95902_5702_normal_5013.png,0,0,1,0
7,11708,tissue_classification/stroma/FIMM_22243_C.mrxs_StromaTile 50.png,0,0,0,1
8,916,tissue_classification/cancer/FIMM_14219_C.mrxs_TumorTile 89.png,0,1,0,0
9,2830,tissue_classification/cancer/TCGA-CJ-4884_32162_33430_cancer_551.png,0,1,0,0
10,11906,tissue_classification/stroma/FIMM_22243_C.mrxs_StromaTile 137.png,0,0,0,1
11,1873,tissue_classification/cancer/TCGA-AK-3458_50477_7419_cancer_5041.png,0,1,0,0
12,2291,tissue_classification/cancer/TCGA-BP-4775_70033_68833_cancer_833.png,0,1,0,0
13,5792,tissue_classification/cancer/TCGA-B0-4690_42582_55881_cancer_4643.png,0,1,0,0
14,10904,tissue_classification/normal/TCGA-B0-5083_22673_11329_normal_4077.png,0,0,1,0
15,7801,tissue_classification/normal/FIMM_22243_C.mrxs_NormalTile 126.png,0,0,1,0
16,7031,tissue_classification/normal/FIMM_2973.mrxs_NormalTile 68.png,0,0,1,0
17,249,tissue_classification/blood/TCGA-BP-4982_44594_48297_blood_58.png,1,0,0,0
18,7119,tissue_classification/normal/FIMM_2973.mrxs_NormalTile 156.png,0,0,1,0
19,9590,tissue_classification/normal/TCGA-EU-5907_5655_52797_normal_1562.png,0,0,1,0
20,11369,tissue_classification/stroma/FIMM_2973.mrxs_StromaTile 79.png,0,0,0,1
21,12253,tissue_classification/stroma/FIMM6_2_ML1412121.mrxs_OtherTile 60.png,0,0,0,1
22,10301,tissue_classification/normal/TCGA-A3-A8OV_63484_12406_normal_5866.png,0,0,1,0
23,7682,tissue_classification/normal/FIMM_22243_C.mrxs_NormalTile 80.png,0,0,1,0
24,3023,tissue_classification/cancer/TCGA-CZ-4860_32280_22608_cancer_202.png,0,1,0,0
25,11380,tissue_classification/stroma/FIMM_2973.mrxs_StromaTile 90.png,0,0,0,1
26,4373,tissue_classification/cancer/TCGA-A3-3359_17725_38338_cancer_9099.png,0,1,0,0
27,5902,tissue_classification/cancer/TCGA-B0-4694_46872_32133_cancer_8263.png,0,1,0,0
28,13351,tissue_classification/stroma/TCGA-BP-5190_72671_25292_stroma_576.png,0,0,0,1
29,7395,tissue_classification/normal/FIMM_2973.mrxs_NormalTile 432.png,0,0,1,0
30,521,tissue_classification/cancer/FIMM_2973.mrxs_TumorTile 24.png,0,1,0,0
31,11958,tissue_classification/stroma/FIMM_22243_C.mrxs_StromaTile 189.png,0,0,0,1
32,4197,tissue_classification/cancer/TCGA-A3-3326_15581_33498_cancer_5678.png,0,1,0,0
33,12484,tissue_classification/stroma/TCGA-A3-A8OW_39210_14743_stroma_386.png,0,0,0,1
34,6085,tissue_classification/cancer/TCGA-B0-4714_47973_51229_cancer_8206.png,0,1,0,0
35,10003,tissue_classification/normal/TCGA-G6-A8L8_99202_5702_normal_5105.png,0,0,1,0
36,3119,tissue_classification/cancer/TCGA-CZ-5470_57363_27770_cancer_154.png,0,1,0,0
37,3230,tissue_classification/cancer/FIMM6_14_ML1412133.mrxs_TumorTile 72.png,0,1,0,0
38,7830,tissue_classification/normal/FIMM_22243_C.mrxs_NormalTile 155.png,0,0,1,0
39,4552,tissue_classification/cancer/TCGA-A3-3359_21025_39538_cancer_9286.png,0,1,0,0
40,5646,tissue_classification/cancer/TCGA-B0-4690_40182_57681_cancer_4497.png,0,1,0,0
41,11930,tissue_classification/stroma/FIMM_22243_C.mrxs_StromaTile 161.png,0,0,0,1
42,6824,tissue_classification/cancer/TCGA-B0-4847_39358_39957_cancer_3553.png,0,1,0,0
43,2039,tissue_classification/cancer/TCGA-B0-5711_23838_7327_cancer_3312.png,0,1,0,0
44,6098,tissue_classification/cancer/TCGA-B0-4714_48873_50629_cancer_8219.png,0,1,0,0
45,6103,tissue_classification/cancer/TCGA-B0-4714_49173_50629_cancer_8224.png,0,1,0,0
46,4707,tissue_classification/cancer/TCGA-A3-A8OW_23432_26104_cancer_1178.png,0,1,0,0
47,6947,tissue_classification/cancer/TCGA-B0-4847_74520_57179_cancer_3760.png,0,1,0,0
48,1243,tissue_classification/cancer/FIMM6_14_ML1412133.mrxs_TumorTile 1.png,0,1,0,0
49,6557,tissue_classification/cancer/TCGA-B0-4828_47737_37388_cancer_6112.png,0,1,0,0
50,2061,tissue_classification/cancer/TCGA-B0-5711_24438_7027_cancer_3336.png,0,1,0,0
51,328,tissue_classification/blood/TCGA-B0-5094_50515_53539_blood_325.png,1,0,0,0
52,1296,tissue_classification/cancer/FIMM6_2_ML1412121.mrxs_TumorTile 54.png,0,1,0,0
53,5915,tissue_classification/cancer/TCGA-B0-4701_14844_29650_cancer_6388.png,0,1,0,0
54,12157,tissue_classification/stroma/TCGA-BP-4987_39039_58370_other_955.png,0,0,0,1
55,7893,tissue_classification/normal/TCGA-BP-4807_17597_36255_normal_10.png,0,0,1,0
56,10119,tissue_classification/normal/TCGA-A3-A8OV_60484_14806_normal_5684.png,0,0,1,0
57,6039,tissue_classification/cancer/TCGA-B0-4701_18444_29950_cancer_6521.png,0,1,0,0
58,12250,tissue_classification/stroma/FIMM6_2_ML1412121.mrxs_OtherTile 49.png,0,0,0,1
